Time (%),Total Time (ns),Num Calls,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
32.1,11694527519,23110,506037.5,3210.0,630,266618084,4015683.0,cudaStreamSynchronize
23.2,8473986714,58006,146088.1,9640.0,2270,470606347,3498014.0,cudaMemcpyAsync
15.9,5799679300,1212,4785213.9,87698.5,2070,355648743,26518621.8,cudaEventSynchronize
14.2,5190592962,925307,5609.6,4230.0,2540,13459963,14970.4,cudaLaunchKernel
5.0,1829411011,296162,6177.1,4630.0,2410,2027833,6333.3,cuLaunchKernel
1.6,597892401,163790,3650.4,3289.0,590,3509166,11194.8,cudaEventRecordWithFlags_v11010
1.4,516627186,99305,5202.4,5120.0,2660,1730038,8551.4,cuLaunchKernelEx
1.3,458994835,105748,4340.5,4360.0,540,15705102,53646.0,cudaEventRecord
1.2,423169787,385774,1096.9,660.0,250,88558,1484.4,cudaEventQuery
0.7,247864823,163942,1511.9,1300.0,680,1446174,3824.9,cudaStreamWaitEvent
0.7,247544901,4945,50059.6,3390.0,1430,12106288,704454.4,cudaDeviceSynchronize
0.7,240047269,176138,1362.8,1210.0,350,2063992,7288.1,cudaEventCreateWithFlags
0.6,212668709,293738,724.0,690.0,290,17220,371.8,cuKernelGetFunction
0.4,151573995,336012,451.1,390.0,220,46479,324.8,cudaStreamIsCapturing_v10000
0.3,122746120,759,161720.8,93478.0,57969,2741650,263730.8,cudaFree
0.3,113577212,176138,644.8,640.0,310,440092,1442.9,cudaEventDestroy
0.3,96887479,481,201429.3,178926.0,65429,1602150,141200.8,cudaMalloc
0.1,32262198,6007,5370.8,4740.0,2070,61809,2076.8,cudaMemsetAsync
0.0,17609406,24042,732.4,610.0,210,22670,861.2,cudaThreadExchangeStreamCaptureMode_v10010
0.0,1562831,3,520943.7,533740.0,495151,533940,22337.3,cudaIpcOpenMemHandle
0.0,1469135,7715,190.4,170.0,70,12800,172.3,cuKernelGetName
0.0,877111,4656,188.4,180.0,140,1380,56.5,cudaGetDevice
0.0,652627,3,217542.3,255635.0,140497,256495,66724.6,cudaIpcCloseMemHandle
0.0,186546,4,46636.5,41519.0,13130,90378,32938.0,cudaMemGetInfo
0.0,141227,1369,103.2,90.0,70,1430,48.0,cuDevicePrimaryCtxGetState
0.0,140969,54,2610.5,2445.0,1690,6550,764.8,cudaStreamGetCaptureInfo_v2_v11030
0.0,81360,54,1506.7,1205.0,660,7290,1331.7,cudaGetFuncBySymbol_v11000
0.0,40710,427,95.3,80.0,60,480,42.1,cudaGetLastError
0.0,35480,58,611.7,665.0,240,1120,245.2,cuOccupancyMaxActiveBlocksPerMultiprocessorWithFlags
0.0,28700,64,448.4,510.0,150,770,155.7,cudaDeviceGetAttribute
0.0,13800,116,119.0,80.0,60,810,91.4,cuCtxGetCurrent
0.0,9450,20,472.5,510.0,190,630,112.9,cuFuncGetAttribute
0.0,6030,2,3015.0,3015.0,2520,3510,700.0,cudaFuncSetAttribute
