total,assistant,final,n_msg
12230,245,33,11
12173,188,32,11
11843,76,40,5
11842,76,40,5
11843,76,40,5
11845,76,40,5
11842,76,40,5
11842,76,40,5
11986,113,40,7
11986,113,40,7
11987,113,40,7
11985,113,40,7
12041,154,32,9
12208,230,33,11
12206,230,33,11
12208,230,33,11
12212,234,35,11
12209,234,35,11
11961,125,40,7
12344,267,35,13
12343,267,35,13
12350,266,33,13
13059,534,39,21
12074,141,36,9
12859,422,24,19
12857,422,24,19
12846,417,24,19
12080,143,36,9
12072,141,36,9
12065,139,36,9
12204,175,36,11
12077,143,36,9
12211,177,36,11
12212,177,36,11
12082,144,36,9
12082,144,36,9
12226,181,36,11
12086,144,36,9
12207,178,36,11
12212,178,36,11
12219,180,36,11
12217,180,36,11
12213,180,36,11
12208,175,36,11
12905,489,39,19
12823,408,25,19
12224,181,36,11
12222,181,36,11
12713,381,24,17
12715,381,24,17
12221,179,36,11
12720,385,24,17
12722,385,24,17
12226,181,36,11
12446,332,30,13
12446,332,30,13
12258,238,44,11
12256,238,44,11
12392,272,44,13
12392,272,44,13
12392,272,44,13
12580,363,30,15
12245,231,31,11
12229,229,33,11
12396,265,31,13
12394,265,31,13
12317,254,34,13
12092,143,37,9
12093,143,37,9
12250,179,37,11
12495,294,34,15
12520,359,80,15
12656,372,55,17
12670,413,66,17
12845,455,66,19
12227,233,34,11
12098,158,47,9
12096,158,47,9
12264,195,47,11
12396,270,34,13
12397,270,34,13
11993,129,56,7
11992,129,56,7
11992,129,56,7
12151,164,56,9
12149,164,56,9
12144,164,56,9
12147,164,56,9
12426,311,28,13
12422,311,28,13
12338,259,26,13
12341,259,26,13
12247,174,32,11
12471,286,26,15
12471,286,26,15
12469,286,26,15
12470,286,26,15
12193,220,39,11
12191,220,39,11
11818,73,37,5
11820,73,37,5
11995,142,63,7
12187,222,43,11
12186,222,43,11
12186,222,43,11
12187,222,43,11
12185,222,43,11
12333,261,43,13
12647,344,32,17
12470,303,32,15
12492,350,43,15
12488,350,43,15
12495,350,43,15
12106,144,35,9
12105,144,35,9
12258,178,35,11
12258,178,35,11
12257,178,35,11
12257,178,35,11
12664,388,43,17
12659,388,43,17
