0, 99 %, 544.27 W;1, 99 %, 505.92 W;2, 98 %, 522.65 W;3, 0 %, 10.22 W; @1786707139
0, 100 %, 530.09 W;1, 100 %, 489.55 W;2, 99 %, 507.12 W;3, 0 %, 9.06 W; @1786707141
0, 99 %, 558.55 W;1, 99 %, 514.08 W;2, 77 %, 532.81 W;3, 0 %, 10.08 W; @1786707143
0, 99 %, 535.96 W;1, 99 %, 509.20 W;2, 99 %, 532.72 W;3, 0 %, 10.23 W; @1786707145
0, 98 %, 553.55 W;1, 99 %, 506.65 W;2, 98 %, 527.05 W;3, 0 %, 10.21 W; @1786707147
0, 99 %, 560.95 W;1, 98 %, 520.80 W;2, 99 %, 538.00 W;3, 0 %, 10.34 W; @1786707149
0, 0 %, 176.12 W;1, 0 %, 211.38 W;2, 0 %, 169.28 W;3, 0 %, 7.81 W; @1786707151
0, 0 %, 67.40 W;1, 0 %, 69.33 W;2, 0 %, 61.56 W;3, 0 %, 7.76 W; @1786707154
0, 0 %, 66.92 W;1, 0 %, 68.60 W;2, 0 %, 60.92 W;3, 0 %, 7.79 W; @1786707156
0, 98 %, 485.88 W;1, 98 %, 435.12 W;2, 98 %, 445.01 W;3, 0 %, 8.72 W; @1786707158
0, 98 %, 534.77 W;1, 98 %, 495.45 W;2, 87 %, 512.27 W;3, 0 %, 10.75 W; @1786707160
0, 0 %, 278.12 W;1, 0 %, 276.81 W;2, 11 %, 258.58 W;3, 0 %, 10.65 W; @1786707162
0, 0 %, 70.47 W;1, 0 %, 76.76 W;2, 0 %, 72.09 W;3, 0 %, 7.30 W; @1786707164
0, 0 %, 66.57 W;1, 0 %, 67.96 W;2, 0 %, 60.82 W;3, 0 %, 7.71 W; @1786707167
0, 98 %, 497.82 W;1, 98 %, 433.05 W;2, 98 %, 504.86 W;3, 0 %, 8.78 W; @1786707169
0, 99 %, 553.40 W;1, 98 %, 510.19 W;2, 97 %, 529.30 W;3, 0 %, 10.35 W; @1786707171
0, 0 %, 99.37 W;1, 0 %, 90.79 W;2, 0 %, 91.03 W;3, 0 %, 10.21 W; @1786707173
0, 0 %, 66.82 W;1, 0 %, 68.87 W;2, 0 %, 61.27 W;3, 0 %, 7.70 W; @1786707175
0, 0 %, 66.08 W;1, 0 %, 68.67 W;2, 0 %, 60.38 W;3, 0 %, 7.91 W; @1786707177
0, 0 %, 65.95 W;1, 0 %, 68.06 W;2, 0 %, 60.12 W;3, 0 %, 7.71 W; @1786707180
0, 0 %, 65.90 W;1, 0 %, 67.41 W;2, 0 %, 59.69 W;3, 0 %, 7.36 W; @1786707182
0, 0 %, 65.65 W;1, 0 %, 67.73 W;2, 83 %, 59.62 W;3, 0 %, 7.38 W; @1786707184
0, 99 %, 547.26 W;1, 99 %, 511.46 W;2, 99 %, 529.55 W;3, 0 %, 9.83 W; @1786707186
0, 99 %, 534.77 W;1, 99 %, 492.68 W;2, 100 %, 511.06 W;3, 0 %, 10.61 W; @1786707188
0, 98 %, 550.10 W;1, 99 %, 504.29 W;2, 80 %, 523.82 W;3, 0 %, 10.56 W; @1786707190
0, 99 %, 554.40 W;1, 99 %, 509.14 W;2, 99 %, 532.17 W;3, 0 %, 10.56 W; @1786707192
0, 98 %, 550.64 W;1, 98 %, 508.91 W;2, 98 %, 527.07 W;3, 0 %, 10.73 W; @1786707194
0, 99 %, 551.69 W;1, 99 %, 519.66 W;2, 99 %, 537.74 W;3, 0 %, 10.74 W; @1786707197
0, 99 %, 554.19 W;1, 99 %, 506.53 W;2, 99 %, 530.27 W;3, 0 %, 10.49 W; @1786707199
0, 0 %, 141.74 W;1, 0 %, 180.61 W;2, 0 %, 150.24 W;3, 0 %, 10.13 W; @1786707201
0, 0 %, 68.13 W;1, 0 %, 70.17 W;2, 0 %, 63.00 W;3, 0 %, 7.26 W; @1786707203
0, 0 %, 67.78 W;1, 0 %, 68.99 W;2, 0 %, 62.37 W;3, 0 %, 7.53 W; @1786707205
0, 98 %, 541.50 W;1, 98 %, 501.04 W;2, 98 %, 516.84 W;3, 0 %, 8.99 W; @1786707207
0, 99 %, 543.04 W;1, 98 %, 494.70 W;2, 98 %, 518.43 W;3, 0 %, 10.64 W; @1786707209
0, 0 %, 311.83 W;1, 0 %, 91.86 W;2, 18 %, 93.68 W;3, 0 %, 8.18 W; @1786707212
0, 0 %, 67.84 W;1, 0 %, 69.60 W;2, 0 %, 63.15 W;3, 0 %, 7.44 W; @1786707214
0, 0 %, 67.22 W;1, 0 %, 68.94 W;2, 0 %, 62.30 W;3, 0 %, 7.66 W; @1786707216
0, 100 %, 559.13 W;1, 99 %, 503.22 W;2, 98 %, 531.90 W;3, 0 %, 9.38 W; @1786707218
0, 98 %, 555.57 W;1, 98 %, 509.34 W;2, 98 %, 529.04 W;3, 0 %, 10.27 W; @1786707220
0, 0 %, 99.36 W;1, 0 %, 90.64 W;2, 0 %, 91.78 W;3, 0 %, 8.14 W; @1786707222
0, 0 %, 67.23 W;1, 0 %, 69.21 W;2, 0 %, 61.75 W;3, 0 %, 7.11 W; @1786707225
0, 0 %, 67.14 W;1, 0 %, 68.39 W;2, 0 %, 61.17 W;3, 0 %, 7.41 W; @1786707227
0, 0 %, 66.53 W;1, 0 %, 67.77 W;2, 0 %, 60.92 W;3, 0 %, 7.20 W; @1786707229
0, 0 %, 66.39 W;1, 0 %, 67.88 W;2, 0 %, 60.36 W;3, 0 %, 7.63 W; @1786707231
0, 99 %, 536.91 W;1, 99 %, 493.57 W;2, 100 %, 510.18 W;3, 0 %, 8.85 W; @1786707233
0, 98 %, 553.52 W;1, 98 %, 508.58 W;2, 87 %, 527.67 W;3, 0 %, 10.72 W; @1786707235
0, 99 %, 561.83 W;1, 99 %, 519.20 W;2, 99 %, 537.10 W;3, 0 %, 10.63 W; @1786707238
0, 100 %, 539.66 W;1, 100 %, 498.72 W;2, 99 %, 514.50 W;3, 0 %, 10.74 W; @1786707240
0, 99 %, 559.86 W;1, 99 %, 520.39 W;2, 98 %, 533.20 W;3, 0 %, 10.41 W; @1786707242
0, 99 %, 560.53 W;1, 99 %, 504.09 W;2, 99 %, 530.24 W;3, 0 %, 10.70 W; @1786707244
0, 98 %, 550.11 W;1, 98 %, 503.11 W;2, 100 %, 521.76 W;3, 0 %, 11.00 W; @1786707246
0, 99 %, 411.73 W;1, 6 %, 435.04 W;2, 86 %, 363.21 W;3, 0 %, 11.09 W; @1786707248
0, 6 %, 86.99 W;1, 6 %, 82.50 W;2, 22 %, 84.37 W;3, 0 %, 49.52 W; @1786707250
0, 7 %, 69.28 W;1, 6 %, 70.29 W;2, 25 %, 63.48 W;3, 0 %, 49.64 W; @1786707252
0, 0 %, 67.47 W;1, 0 %, 69.74 W;2, 0 %, 62.05 W;3, 0 %, 49.63 W; @1786707254
0, 0 %, 67.29 W;1, 0 %, 69.00 W;2, 0 %, 61.83 W;3, 0 %, 49.85 W; @1786707256
0, 0 %, 66.70 W;1, 0 %, 68.19 W;2, 0 %, 61.17 W;3, 0 %, 49.73 W; @1786707259
0, 0 %, 66.41 W;1, 0 %, 67.66 W;2, 0 %, 60.74 W;3, 0 %, 50.14 W; @1786707261
0, 0 %, 66.77 W;1, 0 %, 67.57 W;2, 0 %, 60.55 W;3, 0 %, 50.04 W; @1786707263
0, 0 %, 66.40 W;1, 0 %, 67.29 W;2, 0 %, 60.23 W;3, 0 %, 50.11 W; @1786707265
0, 0 %, 66.08 W;1, 0 %, 66.96 W;2, 0 %, 60.10 W;3, 0 %, 12.87 W; @1786707267
0, 0 %, 56.17 W;1, 0 %, 66.94 W;2, 0 %, 59.77 W;3, 0 %, 7.71 W; @1786707269
0, 0 %, 25.07 W;1, 0 %, 38.03 W;2, 0 %, 23.34 W;3, 0 %, 7.54 W; @1786707271
0, 0 %, 23.67 W;1, 0 %, 25.82 W;2, 0 %, 15.32 W;3, 0 %, 7.40 W; @1786707274
0, 0 %, 23.01 W;1, 0 %, 25.76 W;2, 0 %, 15.08 W;3, 0 %, 7.33 W; @1786707276
0, 0 %, 23.25 W;1, 0 %, 25.92 W;2, 0 %, 15.64 W;3, 0 %, 7.55 W; @1786707278
0, 0 %, 23.27 W;1, 0 %, 25.56 W;2, 0 %, 15.14 W;3, 0 %, 7.26 W; @1786707280
0, 0 %, 23.59 W;1, 0 %, 25.41 W;2, 0 %, 14.73 W;3, 0 %, 7.45 W; @1786707282
0, 0 %, 23.18 W;1, 0 %, 25.44 W;2, 0 %, 14.98 W;3, 0 %, 7.26 W; @1786707284
0, 0 %, 23.38 W;1, 0 %, 24.86 W;2, 0 %, 14.70 W;3, 0 %, 7.37 W; @1786707286
0, 0 %, 23.08 W;1, 0 %, 24.81 W;2, 0 %, 14.69 W;3, 0 %, 7.29 W; @1786707288
0, 0 %, 22.63 W;1, 0 %, 24.62 W;2, 0 %, 14.42 W;3, 0 %, 7.34 W; @1786707291
0, 0 %, 23.21 W;1, 0 %, 24.18 W;2, 0 %, 14.48 W;3, 0 %, 7.25 W; @1786707293
0, 0 %, 22.62 W;1, 0 %, 24.15 W;2, 0 %, 14.09 W;3, 0 %, 7.17 W; @1786707295
0, 0 %, 22.24 W;1, 0 %, 23.76 W;2, 0 %, 13.99 W;3, 0 %, 7.33 W; @1786707297
0, 0 %, 22.48 W;1, 0 %, 24.29 W;2, 0 %, 14.11 W;3, 0 %, 7.49 W; @1786707299
0, 0 %, 22.36 W;1, 0 %, 23.68 W;2, 0 %, 14.23 W;3, 0 %, 7.27 W; @1786707301
0, 9 %, 43.09 W;1, 17 %, 43.33 W;2, 0 %, 13.73 W;3, 0 %, 7.13 W; @1786707303
0, 100 %, 104.20 W;1, 0 %, 64.31 W;2, 0 %, 83.48 W;3, 100 %, 91.17 W; @1786707305
0, 5 %, 114.18 W;1, 0 %, 63.26 W;2, 0 %, 56.63 W;3, 3 %, 86.56 W; @1786707308
0, 0 %, 77.78 W;1, 0 %, 62.69 W;2, 0 %, 55.45 W;3, 33 %, 281.29 W; @1786707310
0, 0 %, 64.29 W;1, 0 %, 62.29 W;2, 0 %, 55.54 W;3, 43 %, 343.93 W; @1786707312
0, 0 %, 64.11 W;1, 0 %, 62.53 W;2, 0 %, 55.59 W;3, 44 %, 274.65 W; @1786707314
0, 0 %, 64.30 W;1, 0 %, 62.39 W;2, 0 %, 55.96 W;3, 53 %, 333.34 W; @1786707316
0, 0 %, 64.20 W;1, 0 %, 62.13 W;2, 0 %, 55.94 W;3, 15 %, 225.49 W; @1786707318
0, 0 %, 64.24 W;1, 0 %, 62.25 W;2, 0 %, 55.85 W;3, 45 %, 305.69 W; @1786707320
0, 0 %, 64.44 W;1, 0 %, 42.83 W;2, 20 %, 56.03 W;3, 28 %, 214.01 W; @1786707322
0, 0 %, 64.24 W;1, 0 %, 63.72 W;2, 0 %, 55.95 W;3, 20 %, 163.96 W; @1786707325
0, 0 %, 64.40 W;1, 0 %, 62.43 W;2, 0 %, 55.78 W;3, 17 %, 192.35 W; @1786707327
0, 99 %, 516.97 W;1, 99 %, 476.67 W;2, 98 %, 491.77 W;3, 47 %, 288.50 W; @1786707329
0, 98 %, 467.40 W;1, 98 %, 424.18 W;2, 52 %, 439.16 W;3, 19 %, 243.29 W; @1786707331
0, 0 %, 174.78 W;1, 0 %, 113.44 W;2, 47 %, 128.06 W;3, 13 %, 205.82 W; @1786707334
0, 0 %, 68.18 W;1, 0 %, 64.34 W;2, 0 %, 57.94 W;3, 74 %, 216.54 W; @1786707336
