0, 0 %, 21.64 W;1, 0 %, 22.97 W;2, 0 %, 12.81 W;3, 0 %, 7.13 W; @1786708140
0, 0 %, 21.38 W;1, 0 %, 22.76 W;2, 0 %, 12.94 W;3, 0 %, 7.15 W; @1786708142
0, 0 %, 21.64 W;1, 0 %, 23.69 W;2, 0 %, 12.72 W;3, 0 %, 7.08 W; @1786708144
0, 0 %, 21.43 W;1, 0 %, 23.01 W;2, 0 %, 12.74 W;3, 0 %, 7.09 W; @1786708146
0, 0 %, 21.45 W;1, 0 %, 23.33 W;2, 0 %, 12.68 W;3, 0 %, 7.14 W; @1786708148
0, 0 %, 21.71 W;1, 0 %, 23.17 W;2, 0 %, 13.27 W;3, 0 %, 7.39 W; @1786708150
0, 0 %, 23.98 W;1, 0 %, 25.72 W;2, 0 %, 14.37 W;3, 0 %, 8.95 W; @1786708152
0, 0 %, 21.88 W;1, 0 %, 23.61 W;2, 0 %, 13.00 W;3, 0 %, 7.25 W; @1786708154
0, 0 %, 21.58 W;1, 0 %, 22.77 W;2, 0 %, 12.76 W;3, 0 %, 7.08 W; @1786708157
0, 0 %, 21.37 W;1, 0 %, 23.47 W;2, 0 %, 12.96 W;3, 0 %, 7.26 W; @1786708159
0, 0 %, 21.33 W;1, 0 %, 23.48 W;2, 0 %, 13.28 W;3, 0 %, 7.49 W; @1786708161
0, 0 %, 21.66 W;1, 0 %, 23.21 W;2, 0 %, 13.29 W;3, 0 %, 7.06 W; @1786708163
0, 0 %, 21.29 W;1, 0 %, 23.52 W;2, 0 %, 13.20 W;3, 0 %, 7.36 W; @1786708165
0, 0 %, 21.67 W;1, 0 %, 23.04 W;2, 0 %, 12.98 W;3, 0 %, 7.34 W; @1786708167
0, 0 %, 21.66 W;1, 0 %, 23.14 W;2, 0 %, 13.15 W;3, 0 %, 7.38 W; @1786708170
0, 0 %, 21.64 W;1, 0 %, 23.30 W;2, 0 %, 12.97 W;3, 0 %, 7.30 W; @1786708172
0, 0 %, 21.79 W;1, 0 %, 23.21 W;2, 0 %, 12.68 W;3, 0 %, 7.02 W; @1786708174
0, 0 %, 21.51 W;1, 0 %, 23.03 W;2, 0 %, 13.08 W;3, 0 %, 7.16 W; @1786708176
0, 0 %, 21.44 W;1, 0 %, 22.54 W;2, 0 %, 13.34 W;3, 0 %, 7.70 W; @1786708178
0, 0 %, 21.57 W;1, 0 %, 22.73 W;2, 0 %, 13.31 W;3, 0 %, 7.70 W; @1786708180
0, 0 %, 21.91 W;1, 0 %, 22.80 W;2, 0 %, 13.25 W;3, 0 %, 7.94 W; @1786708183
0, 0 %, 21.59 W;1, 0 %, 23.04 W;2, 0 %, 13.33 W;3, 0 %, 7.78 W; @1786708185
0, 0 %, 21.55 W;1, 0 %, 23.06 W;2, 0 %, 13.07 W;3, 0 %, 7.65 W; @1786708187
0, 0 %, 21.68 W;1, 0 %, 23.49 W;2, 0 %, 13.37 W;3, 0 %, 7.62 W; @1786708189
0, 0 %, 21.83 W;1, 0 %, 23.76 W;2, 0 %, 12.97 W;3, 0 %, 7.88 W; @1786708191
0, 0 %, 21.65 W;1, 0 %, 23.04 W;2, 0 %, 13.14 W;3, 0 %, 7.56 W; @1786708193
0, 0 %, 21.76 W;1, 0 %, 23.33 W;2, 0 %, 13.17 W;3, 0 %, 7.55 W; @1786708196
0, 0 %, 21.82 W;1, 0 %, 23.39 W;2, 0 %, 12.83 W;3, 0 %, 7.57 W; @1786708198
0, 0 %, 21.59 W;1, 0 %, 23.65 W;2, 0 %, 12.98 W;3, 0 %, 7.51 W; @1786708200
0, 0 %, 21.55 W;1, 0 %, 23.09 W;2, 0 %, 13.19 W;3, 0 %, 7.68 W; @1786708202
0, 0 %, 21.44 W;1, 0 %, 23.65 W;2, 0 %, 13.10 W;3, 0 %, 7.58 W; @1786708204
0, 0 %, 21.45 W;1, 0 %, 23.44 W;2, 0 %, 13.16 W;3, 0 %, 7.80 W; @1786708206
0, 0 %, 21.48 W;1, 0 %, 23.35 W;2, 0 %, 13.09 W;3, 0 %, 7.89 W; @1786708209
0, 0 %, 21.40 W;1, 0 %, 23.55 W;2, 0 %, 13.15 W;3, 0 %, 8.03 W; @1786708211
0, 0 %, 21.48 W;1, 0 %, 22.97 W;2, 0 %, 13.06 W;3, 0 %, 7.52 W; @1786708213
0, 0 %, 21.77 W;1, 0 %, 23.46 W;2, 0 %, 13.07 W;3, 0 %, 7.81 W; @1786708215
0, 0 %, 21.64 W;1, 0 %, 23.16 W;2, 0 %, 13.08 W;3, 0 %, 7.55 W; @1786708218
0, 0 %, 21.89 W;1, 0 %, 23.14 W;2, 0 %, 13.30 W;3, 0 %, 7.70 W; @1786708220
0, 0 %, 21.54 W;1, 0 %, 22.74 W;2, 0 %, 13.02 W;3, 0 %, 7.35 W; @1786708222
0, 0 %, 21.88 W;1, 0 %, 22.95 W;2, 0 %, 13.15 W;3, 0 %, 7.44 W; @1786708224
0, 0 %, 21.46 W;1, 0 %, 22.73 W;2, 0 %, 12.96 W;3, 0 %, 7.25 W; @1786708226
0, 0 %, 21.51 W;1, 0 %, 23.12 W;2, 0 %, 12.99 W;3, 0 %, 7.44 W; @1786708228
0, 0 %, 21.29 W;1, 0 %, 23.47 W;2, 0 %, 13.09 W;3, 0 %, 7.54 W; @1786708231
0, 0 %, 21.52 W;1, 0 %, 22.99 W;2, 0 %, 12.88 W;3, 0 %, 7.39 W; @1786708233
0, 0 %, 21.27 W;1, 0 %, 23.45 W;2, 0 %, 12.91 W;3, 0 %, 7.76 W; @1786708235
0, 0 %, 21.34 W;1, 0 %, 23.34 W;2, 0 %, 12.81 W;3, 0 %, 7.57 W; @1786708237
0, 0 %, 21.40 W;1, 0 %, 22.78 W;2, 0 %, 12.76 W;3, 0 %, 7.45 W; @1786708239
0, 0 %, 21.64 W;1, 0 %, 23.02 W;2, 0 %, 12.87 W;3, 0 %, 7.36 W; @1786708241
0, 0 %, 21.20 W;1, 0 %, 23.23 W;2, 0 %, 12.72 W;3, 0 %, 7.23 W; @1786708244
0, 0 %, 21.72 W;1, 0 %, 23.89 W;2, 0 %, 13.10 W;3, 0 %, 7.08 W; @1786708246
0, 0 %, 21.62 W;1, 0 %, 23.15 W;2, 0 %, 12.93 W;3, 0 %, 6.77 W; @1786708248
0, 0 %, 21.66 W;1, 0 %, 23.24 W;2, 0 %, 12.89 W;3, 0 %, 7.09 W; @1786708250
0, 0 %, 21.88 W;1, 0 %, 23.63 W;2, 0 %, 13.10 W;3, 0 %, 7.55 W; @1786708252
0, 0 %, 21.70 W;1, 0 %, 23.23 W;2, 0 %, 12.74 W;3, 0 %, 7.05 W; @1786708254
0, 0 %, 21.74 W;1, 0 %, 23.59 W;2, 0 %, 12.77 W;3, 0 %, 7.29 W; @1786708257
0, 0 %, 21.67 W;1, 0 %, 23.21 W;2, 0 %, 12.57 W;3, 0 %, 7.69 W; @1786708259
0, 0 %, 21.54 W;1, 0 %, 23.73 W;2, 0 %, 12.68 W;3, 0 %, 7.75 W; @1786708261
0, 0 %, 21.78 W;1, 0 %, 23.43 W;2, 0 %, 12.64 W;3, 0 %, 8.00 W; @1786708263
0, 0 %, 21.43 W;1, 0 %, 23.54 W;2, 0 %, 12.77 W;3, 0 %, 7.92 W; @1786708265
0, 0 %, 21.75 W;1, 0 %, 23.52 W;2, 0 %, 12.88 W;3, 0 %, 8.47 W; @1786708268
0, 0 %, 21.53 W;1, 0 %, 23.17 W;2, 0 %, 12.68 W;3, 0 %, 8.34 W; @1786708270
0, 0 %, 21.77 W;1, 0 %, 23.32 W;2, 0 %, 12.56 W;3, 0 %, 8.18 W; @1786708272
0, 0 %, 21.62 W;1, 0 %, 23.55 W;2, 0 %, 12.48 W;3, 0 %, 7.99 W; @1786708274
0, 0 %, 21.67 W;1, 0 %, 23.32 W;2, 0 %, 12.65 W;3, 0 %, 8.07 W; @1786708276
0, 0 %, 21.72 W;1, 0 %, 23.21 W;2, 0 %, 12.86 W;3, 0 %, 7.82 W; @1786708279
0, 0 %, 21.53 W;1, 0 %, 23.70 W;2, 0 %, 12.70 W;3, 0 %, 8.09 W; @1786708281
0, 0 %, 21.65 W;1, 0 %, 24.25 W;2, 0 %, 12.41 W;3, 0 %, 8.46 W; @1786708283
0, 0 %, 21.46 W;1, 0 %, 22.99 W;2, 0 %, 12.78 W;3, 0 %, 8.08 W; @1786708285
0, 0 %, 21.75 W;1, 0 %, 23.75 W;2, 0 %, 12.91 W;3, 0 %, 8.73 W; @1786708287
0, 0 %, 21.33 W;1, 0 %, 23.35 W;2, 0 %, 12.38 W;3, 0 %, 8.46 W; @1786708289
0, 0 %, 22.12 W;1, 0 %, 23.78 W;2, 0 %, 12.76 W;3, 0 %, 8.24 W; @1786708292
0, 0 %, 21.96 W;1, 0 %, 23.63 W;2, 0 %, 12.61 W;3, 0 %, 8.10 W; @1786708294
0, 0 %, 21.74 W;1, 0 %, 23.21 W;2, 0 %, 12.35 W;3, 0 %, 8.13 W; @1786708297
0, 0 %, 22.13 W;1, 0 %, 23.55 W;2, 0 %, 12.58 W;3, 0 %, 7.97 W; @1786708300
0, 0 %, 22.07 W;1, 0 %, 22.82 W;2, 0 %, 12.73 W;3, 0 %, 8.22 W; @1786708302
0, 0 %, 22.27 W;1, 0 %, 23.81 W;2, 0 %, 12.81 W;3, 0 %, 8.37 W; @1786708304
0, 0 %, 21.89 W;1, 0 %, 23.26 W;2, 0 %, 12.65 W;3, 0 %, 7.96 W; @1786708306
0, 0 %, 21.87 W;1, 0 %, 23.00 W;2, 0 %, 12.47 W;3, 0 %, 7.69 W; @1786708308
0, 0 %, 21.98 W;1, 0 %, 23.03 W;2, 0 %, 12.85 W;3, 0 %, 7.65 W; @1786708311
0, 0 %, 21.98 W;1, 0 %, 23.35 W;2, 0 %, 12.76 W;3, 0 %, 7.92 W; @1786708313
0, 0 %, 21.83 W;1, 0 %, 23.63 W;2, 0 %, 12.64 W;3, 0 %, 7.67 W; @1786708315
0, 0 %, 21.50 W;1, 0 %, 23.25 W;2, 0 %, 12.52 W;3, 0 %, 6.93 W; @1786708317
0, 0 %, 21.50 W;1, 0 %, 23.43 W;2, 0 %, 12.48 W;3, 0 %, 6.79 W; @1786708319
0, 0 %, 21.41 W;1, 0 %, 23.32 W;2, 0 %, 12.58 W;3, 0 %, 6.79 W; @1786708322
0, 0 %, 21.86 W;1, 0 %, 23.17 W;2, 0 %, 12.52 W;3, 0 %, 6.80 W; @1786708324
0, 0 %, 21.57 W;1, 0 %, 22.73 W;2, 0 %, 12.71 W;3, 0 %, 6.64 W; @1786708326
0, 0 %, 21.60 W;1, 0 %, 23.38 W;2, 0 %, 12.69 W;3, 0 %, 6.69 W; @1786708328
0, 0 %, 21.55 W;1, 0 %, 23.37 W;2, 0 %, 12.52 W;3, 0 %, 6.68 W; @1786708330
0, 0 %, 21.20 W;1, 0 %, 23.33 W;2, 0 %, 12.43 W;3, 0 %, 6.75 W; @1786708332
0, 0 %, 21.40 W;1, 0 %, 23.31 W;2, 0 %, 12.61 W;3, 0 %, 6.84 W; @1786708335
0, 0 %, 21.76 W;1, 0 %, 23.70 W;2, 0 %, 12.68 W;3, 0 %, 7.52 W; @1786708337
0, 0 %, 21.62 W;1, 0 %, 23.88 W;2, 0 %, 12.66 W;3, 0 %, 6.96 W; @1786708339
0, 0 %, 21.62 W;1, 0 %, 23.61 W;2, 0 %, 12.94 W;3, 0 %, 6.91 W; @1786708341
0, 0 %, 21.71 W;1, 0 %, 23.08 W;2, 0 %, 12.74 W;3, 0 %, 6.93 W; @1786708343
0, 0 %, 21.75 W;1, 0 %, 23.33 W;2, 0 %, 12.79 W;3, 0 %, 6.76 W; @1786708346
0, 0 %, 21.66 W;1, 0 %, 23.79 W;2, 0 %, 12.89 W;3, 0 %, 7.15 W; @1786708348
0, 0 %, 21.71 W;1, 0 %, 23.66 W;2, 0 %, 12.70 W;3, 0 %, 6.46 W; @1786708350
0, 0 %, 21.57 W;1, 0 %, 23.84 W;2, 0 %, 12.94 W;3, 0 %, 6.39 W; @1786708352
0, 0 %, 21.49 W;1, 0 %, 23.49 W;2, 0 %, 12.86 W;3, 0 %, 6.62 W; @1786708354
0, 0 %, 21.61 W;1, 0 %, 23.55 W;2, 0 %, 12.74 W;3, 0 %, 6.74 W; @1786708356
0, 0 %, 21.51 W;1, 0 %, 23.57 W;2, 0 %, 12.79 W;3, 0 %, 6.84 W; @1786708359
0, 0 %, 21.39 W;1, 0 %, 24.21 W;2, 0 %, 12.99 W;3, 0 %, 6.75 W; @1786708361
0, 0 %, 21.27 W;1, 0 %, 24.10 W;2, 0 %, 13.10 W;3, 0 %, 6.83 W; @1786708363
0, 0 %, 21.59 W;1, 0 %, 23.36 W;2, 0 %, 13.08 W;3, 0 %, 6.85 W; @1786708365
0, 0 %, 21.55 W;1, 0 %, 23.20 W;2, 0 %, 12.94 W;3, 0 %, 6.93 W; @1786708367
0, 0 %, 21.17 W;1, 0 %, 23.78 W;2, 0 %, 12.70 W;3, 0 %, 6.34 W; @1786708369
0, 0 %, 20.94 W;1, 0 %, 23.55 W;2, 0 %, 13.33 W;3, 0 %, 6.44 W; @1786708372
0, 0 %, 21.62 W;1, 0 %, 24.03 W;2, 0 %, 13.02 W;3, 0 %, 6.77 W; @1786708374
0, 0 %, 21.51 W;1, 0 %, 23.53 W;2, 0 %, 12.94 W;3, 0 %, 7.18 W; @1786708376
0, 0 %, 21.42 W;1, 0 %, 23.12 W;2, 0 %, 13.12 W;3, 0 %, 6.97 W; @1786708378
