1787904602,0, 0, 22.28;1, 0, 16.28;2, 0, 20.27;3, 0, 22.41;
1787904604,0, 0, 22.37;1, 0, 16.27;2, 0, 20.25;3, 0, 22.18;
1787904607,0, 0, 23.81;1, 0, 19.12;2, 0, 21.26;3, 0, 24.36;
1787904609,0, 0, 22.73;1, 0, 15.91;2, 0, 20.32;3, 0, 22.13;
1787904611,0, 0, 22.57;1, 0, 16.37;2, 0, 19.96;3, 0, 22.13;
1787904613,0, 0, 22.74;1, 0, 16.92;2, 0, 19.65;3, 0, 21.85;
1787904615,0, 0, 22.50;1, 0, 16.39;2, 0, 19.69;3, 0, 21.48;
1787904618,0, 0, 23.13;1, 0, 16.63;2, 0, 20.13;3, 0, 22.42;
1787904620,0, 0, 22.70;1, 0, 16.77;2, 0, 20.16;3, 0, 22.32;
1787904622,0, 0, 22.69;1, 0, 16.30;2, 0, 19.94;3, 0, 22.23;
1787904624,0, 0, 22.52;1, 0, 15.88;2, 0, 19.83;3, 0, 22.39;
1787904627,0, 0, 22.52;1, 0, 16.08;2, 0, 20.06;3, 0, 21.84;
1787904629,0, 0, 22.82;1, 0, 17.08;2, 0, 20.50;3, 0, 22.46;
1787904631,0, 0, 22.67;1, 0, 15.98;2, 0, 20.09;3, 0, 22.73;
1787904633,0, 0, 22.53;1, 0, 16.25;2, 0, 20.14;3, 0, 22.55;
1787904635,0, 0, 22.46;1, 0, 16.07;2, 0, 20.47;3, 0, 22.37;
1787904638,0, 0, 22.48;1, 0, 16.14;2, 0, 19.92;3, 0, 22.09;
1787904640,0, 0, 32.19;1, 0, 16.52;2, 0, 23.05;3, 0, 22.82;
1787904642,0, 0, 70.82;1, 0, 66.06;2, 0, 64.91;3, 0, 22.57;
1787904644,0, 0, 71.82;1, 0, 65.89;2, 0, 64.52;3, 0, 22.51;
1787904647,0, 0, 71.26;1, 0, 65.36;2, 0, 64.05;3, 0, 21.85;
1787904649,0, 0, 73.27;1, 0, 66.13;2, 0, 64.01;3, 0, 22.25;
1787904651,0, 0, 78.19;1, 0, 65.76;2, 0, 63.95;3, 0, 22.33;
1787904653,0, 0, 81.14;1, 0, 66.01;2, 0, 63.73;3, 0, 22.10;
1787904656,0, 0, 83.35;1, 0, 66.25;2, 0, 63.38;3, 0, 22.30;
1787904658,0, 0, 52.61;1, 0, 26.97;2, 0, 27.28;3, 0, 22.32;
1787904660,0, 0, 41.76;1, 0, 17.43;2, 0, 21.42;3, 0, 22.32;
1787904662,0, 35, 124.57;1, 41, 102.33;2, 45, 98.95;3, 0, 22.89;
1787904665,0, 0, 101.42;1, 0, 89.14;2, 0, 87.79;3, 0, 23.04;
1787904667,0, 0, 72.60;1, 0, 65.55;2, 0, 63.39;3, 0, 23.41;
1787904669,0, 0, 73.15;1, 0, 67.32;2, 0, 63.26;3, 0, 22.22;
1787904671,0, 0, 77.17;1, 0, 66.99;2, 0, 63.08;3, 0, 22.83;
1787904673,0, 0, 80.27;1, 0, 66.14;2, 0, 63.20;3, 0, 22.78;
1787904675,0, 0, 82.83;1, 0, 66.22;2, 0, 62.90;3, 0, 22.72;
1787904677,0, 0, 84.44;1, 0, 66.42;2, 0, 63.01;3, 0, 22.72;
1787904680,0, 0, 86.34;1, 0, 66.38;2, 0, 62.78;3, 0, 22.47;
1787904682,0, 0, 49.96;1, 0, 18.10;2, 0, 20.26;3, 0, 22.66;
1787904684,0, 0, 40.62;1, 0, 15.53;2, 0, 18.81;3, 0, 22.81;
1787904686,0, 0, 31.79;1, 0, 15.83;2, 0, 18.78;3, 0, 22.41;
1787904688,0, 0, 25.75;1, 0, 15.75;2, 0, 18.94;3, 0, 22.64;
1787904690,0, 0, 22.34;1, 0, 16.09;2, 0, 19.02;3, 0, 22.66;
1787904692,0, 0, 22.25;1, 0, 16.02;2, 0, 19.01;3, 0, 22.72;
1787904695,0, 0, 22.27;1, 0, 15.51;2, 0, 18.75;3, 0, 22.51;
1787904697,0, 0, 22.18;1, 0, 15.92;2, 0, 19.00;3, 0, 22.93;
1787904699,0, 0, 22.27;1, 0, 15.40;2, 0, 19.00;3, 0, 22.54;
1787904701,0, 0, 22.25;1, 0, 15.77;2, 0, 18.60;3, 0, 57.55;
1787904703,0, 0, 22.32;1, 0, 15.76;2, 0, 18.64;3, 0, 75.37;
1787904705,0, 0, 22.27;1, 0, 15.61;2, 0, 18.70;3, 0, 77.41;
1787904708,0, 0, 22.33;1, 0, 15.84;2, 0, 18.90;3, 0, 80.15;
1787904710,0, 0, 22.21;1, 0, 15.68;2, 0, 18.78;3, 0, 82.99;
1787904712,0, 0, 22.17;1, 0, 15.86;2, 0, 18.54;3, 0, 85.82;
1787904714,0, 0, 22.29;1, 0, 15.77;2, 0, 18.60;3, 0, 87.39;
1787904716,0, 0, 22.35;1, 0, 15.72;2, 0, 18.98;3, 0, 87.62;
1787904718,0, 0, 22.46;1, 0, 15.68;2, 0, 18.76;3, 0, 88.33;
1787904720,0, 0, 22.45;1, 0, 15.51;2, 0, 18.71;3, 0, 88.68;
1787904723,0, 0, 22.47;1, 0, 15.95;2, 0, 18.82;3, 0, 88.00;
1787904725,0, 0, 22.30;1, 0, 15.10;2, 0, 19.04;3, 0, 231.85;
1787904727,0, 0, 22.33;1, 0, 15.40;2, 0, 18.83;3, 18, 187.38;
1787904729,0, 0, 22.36;1, 0, 15.68;2, 0, 18.33;3, 14, 152.34;
1787904731,0, 0, 22.26;1, 0, 15.26;2, 0, 18.76;3, 0, 92.46;
1787904733,0, 0, 22.28;1, 0, 15.85;2, 0, 18.29;3, 0, 88.63;
1787904735,0, 0, 69.68;1, 0, 65.43;2, 0, 61.47;3, 0, 88.45;
1787904738,0, 0, 71.16;1, 0, 67.02;2, 0, 62.15;3, 3, 89.83;
1787904740,0, 8, 72.13;1, 8, 68.11;2, 8, 63.98;3, 0, 88.18;
1787904742,0, 0, 72.18;1, 0, 67.43;2, 0, 63.30;3, 0, 87.99;
1787904744,0, 0, 73.48;1, 0, 66.01;2, 0, 62.79;3, 0, 88.07;
1787904746,0, 0, 76.88;1, 0, 65.64;2, 0, 62.94;3, 0, 88.00;
1787904748,0, 0, 80.19;1, 3, 66.16;2, 0, 62.98;3, 0, 87.98;
1787904751,0, 0, 82.29;1, 3, 66.36;2, 12, 62.93;3, 0, 88.95;
1787904753,0, 28, 87.62;1, 11, 68.31;2, 10, 64.72;3, 0, 88.23;
