0, 0 %, 0 MiB, 21.11 W;1, 0 %, 0 MiB, 23.61 W;2, 0 %, 0 MiB, 11.86 W;3, 0 %, 0 MiB, 7.30 W; @1786712548
0, 0 %, 0 MiB, 21.60 W;1, 0 %, 0 MiB, 23.39 W;2, 0 %, 0 MiB, 12.05 W;3, 0 %, 0 MiB, 9.00 W; @1786712551
0, 0 %, 0 MiB, 21.31 W;1, 0 %, 0 MiB, 23.66 W;2, 0 %, 0 MiB, 11.93 W;3, 0 %, 0 MiB, 8.56 W; @1786712554
0, 0 %, 0 MiB, 21.41 W;1, 0 %, 0 MiB, 23.47 W;2, 0 %, 0 MiB, 12.25 W;3, 0 %, 0 MiB, 8.02 W; @1786712557
0, 0 %, 0 MiB, 21.49 W;1, 0 %, 0 MiB, 23.69 W;2, 0 %, 0 MiB, 11.97 W;3, 0 %, 0 MiB, 7.45 W; @1786712560
0, 0 %, 0 MiB, 21.65 W;1, 0 %, 0 MiB, 23.10 W;2, 0 %, 0 MiB, 12.02 W;3, 0 %, 0 MiB, 7.32 W; @1786712563
0, 0 %, 0 MiB, 21.98 W;1, 0 %, 0 MiB, 23.22 W;2, 0 %, 0 MiB, 12.13 W;3, 0 %, 0 MiB, 8.58 W; @1786712566
0, 0 %, 3 MiB, 21.68 W;1, 0 %, 3 MiB, 23.78 W;2, 0 %, 3 MiB, 12.33 W;3, 0 %, 3 MiB, 8.81 W; @1786712570
0, 0 %, 3 MiB, 22.01 W;1, 0 %, 3 MiB, 24.59 W;2, 0 %, 3 MiB, 12.56 W;3, 0 %, 3 MiB, 7.76 W; @1786712573
0, 0 %, 3 MiB, 21.59 W;1, 0 %, 3 MiB, 23.80 W;2, 0 %, 3 MiB, 12.06 W;3, 0 %, 3 MiB, 7.04 W; @1786712576
0, 0 %, 3 MiB, 21.81 W;1, 0 %, 3 MiB, 23.62 W;2, 0 %, 3 MiB, 12.33 W;3, 0 %, 3 MiB, 7.94 W; @1786712579
0, 0 %, 3 MiB, 22.09 W;1, 0 %, 3 MiB, 23.16 W;2, 0 %, 3 MiB, 11.98 W;3, 0 %, 3 MiB, 8.35 W; @1786712582
0, 0 %, 3 MiB, 21.64 W;1, 0 %, 3 MiB, 23.75 W;2, 0 %, 3 MiB, 11.84 W;3, 0 %, 3 MiB, 8.47 W; @1786712585
0, 0 %, 3 MiB, 21.57 W;1, 0 %, 3 MiB, 23.50 W;2, 0 %, 3 MiB, 11.93 W;3, 0 %, 3 MiB, 7.18 W; @1786712589
0, 0 %, 3 MiB, 21.48 W;1, 0 %, 3 MiB, 23.61 W;2, 0 %, 3 MiB, 12.10 W;3, 0 %, 3 MiB, 7.54 W; @1786712592
0, 0 %, 3 MiB, 21.91 W;1, 0 %, 3 MiB, 23.64 W;2, 0 %, 3 MiB, 12.04 W;3, 0 %, 3 MiB, 8.61 W; @1786712595
0, 0 %, 3 MiB, 21.66 W;1, 0 %, 3 MiB, 23.44 W;2, 0 %, 3 MiB, 12.07 W;3, 0 %, 3 MiB, 8.55 W; @1786712598
0, 0 %, 3 MiB, 21.59 W;1, 0 %, 3 MiB, 23.47 W;2, 0 %, 3 MiB, 12.32 W;3, 0 %, 3 MiB, 6.98 W; @1786712601
0, 0 %, 3 MiB, 21.11 W;1, 0 %, 3 MiB, 23.54 W;2, 0 %, 3 MiB, 12.06 W;3, 0 %, 3 MiB, 7.07 W; @1786712605
0, 0 %, 3 MiB, 21.59 W;1, 0 %, 3 MiB, 23.13 W;2, 0 %, 3 MiB, 11.92 W;3, 0 %, 3 MiB, 7.35 W; @1786712608
0, 0 %, 3 MiB, 21.72 W;1, 0 %, 3 MiB, 23.35 W;2, 0 %, 3 MiB, 12.13 W;3, 0 %, 3 MiB, 8.75 W; @1786712611
0, 0 %, 3 MiB, 21.75 W;1, 0 %, 3 MiB, 23.44 W;2, 0 %, 3 MiB, 11.89 W;3, 0 %, 3 MiB, 8.79 W; @1786712614
0, 0 %, 3 MiB, 22.20 W;1, 0 %, 3 MiB, 23.29 W;2, 0 %, 3 MiB, 12.61 W;3, 0 %, 3 MiB, 8.06 W; @1786712617
0, 0 %, 3 MiB, 21.69 W;1, 0 %, 3 MiB, 22.91 W;2, 0 %, 3 MiB, 11.87 W;3, 0 %, 3 MiB, 7.63 W; @1786712620
0, 0 %, 3 MiB, 21.96 W;1, 0 %, 3 MiB, 23.85 W;2, 0 %, 3 MiB, 12.04 W;3, 0 %, 3 MiB, 7.91 W; @1786712624
0, 0 %, 3 MiB, 21.72 W;1, 0 %, 3 MiB, 23.70 W;2, 0 %, 3 MiB, 12.19 W;3, 0 %, 3 MiB, 8.50 W; @1786712627
0, 0 %, 3 MiB, 21.95 W;1, 0 %, 3 MiB, 23.13 W;2, 0 %, 3 MiB, 12.06 W;3, 0 %, 3 MiB, 8.53 W; @1786712630
0, 0 %, 3 MiB, 22.24 W;1, 0 %, 3 MiB, 23.47 W;2, 0 %, 3 MiB, 12.30 W;3, 0 %, 3 MiB, 7.22 W; @1786712633
0, 0 %, 3 MiB, 22.11 W;1, 0 %, 3 MiB, 22.45 W;2, 0 %, 3 MiB, 12.16 W;3, 0 %, 3 MiB, 7.37 W; @1786712636
0, 0 %, 3 MiB, 22.08 W;1, 0 %, 3 MiB, 23.14 W;2, 0 %, 3 MiB, 12.50 W;3, 0 %, 3 MiB, 8.27 W; @1786712640
0, 0 %, 3 MiB, 21.62 W;1, 0 %, 3 MiB, 23.02 W;2, 0 %, 3 MiB, 12.27 W;3, 0 %, 3 MiB, 8.46 W; @1786712643
0, 0 %, 3 MiB, 21.59 W;1, 0 %, 3 MiB, 23.40 W;2, 0 %, 3 MiB, 12.41 W;3, 0 %, 3 MiB, 7.89 W; @1786712646
0, 0 %, 3 MiB, 21.30 W;1, 0 %, 3 MiB, 23.07 W;2, 0 %, 3 MiB, 12.38 W;3, 0 %, 3 MiB, 7.32 W; @1786712649
0, 0 %, 3 MiB, 22.05 W;1, 0 %, 3 MiB, 22.75 W;2, 0 %, 3 MiB, 12.76 W;3, 0 %, 3 MiB, 6.73 W; @1786712653
0, 0 %, 3 MiB, 22.57 W;1, 0 %, 3 MiB, 23.03 W;2, 0 %, 3 MiB, 13.09 W;3, 0 %, 3 MiB, 8.81 W; @1786712656
0, 0 %, 3 MiB, 22.99 W;1, 0 %, 3 MiB, 22.89 W;2, 0 %, 3 MiB, 12.96 W;3, 0 %, 3 MiB, 8.65 W; @1786712659
0, 0 %, 3 MiB, 23.26 W;1, 0 %, 3 MiB, 22.74 W;2, 0 %, 3 MiB, 13.39 W;3, 0 %, 3 MiB, 8.53 W; @1786712662
0, 0 %, 3 MiB, 22.39 W;1, 0 %, 3 MiB, 22.67 W;2, 0 %, 3 MiB, 12.89 W;3, 0 %, 3 MiB, 7.57 W; @1786712665
0, 0 %, 3 MiB, 22.67 W;1, 0 %, 3 MiB, 22.74 W;2, 0 %, 3 MiB, 13.01 W;3, 0 %, 3 MiB, 8.74 W; @1786712669
0, 0 %, 3 MiB, 22.63 W;1, 0 %, 3 MiB, 23.20 W;2, 0 %, 3 MiB, 13.18 W;3, 0 %, 3 MiB, 8.79 W; @1786712672
0, 0 %, 3 MiB, 22.20 W;1, 0 %, 3 MiB, 23.27 W;2, 0 %, 3 MiB, 12.86 W;3, 0 %, 3 MiB, 7.27 W; @1786712675
0, 0 %, 3 MiB, 21.45 W;1, 0 %, 3 MiB, 23.48 W;2, 0 %, 3 MiB, 12.81 W;3, 0 %, 3 MiB, 6.20 W; @1786712678
0, 0 %, 3 MiB, 21.30 W;1, 0 %, 3 MiB, 23.32 W;2, 0 %, 3 MiB, 12.58 W;3, 0 %, 3 MiB, 6.39 W; @1786712681
0, 0 %, 3 MiB, 21.92 W;1, 0 %, 3 MiB, 23.45 W;2, 0 %, 3 MiB, 12.75 W;3, 0 %, 3 MiB, 8.07 W; @1786712685
0, 0 %, 3 MiB, 22.17 W;1, 0 %, 3 MiB, 23.46 W;2, 0 %, 3 MiB, 12.57 W;3, 0 %, 3 MiB, 9.07 W; @1786712688
0, 0 %, 3 MiB, 22.12 W;1, 0 %, 3 MiB, 23.24 W;2, 0 %, 3 MiB, 12.59 W;3, 0 %, 3 MiB, 7.45 W; @1786712691
0, 0 %, 3 MiB, 22.07 W;1, 0 %, 3 MiB, 22.74 W;2, 0 %, 3 MiB, 12.36 W;3, 0 %, 3 MiB, 7.09 W; @1786712694
0, 0 %, 3 MiB, 21.81 W;1, 0 %, 3 MiB, 22.42 W;2, 0 %, 3 MiB, 12.43 W;3, 0 %, 3 MiB, 8.37 W; @1786712697
0, 0 %, 3 MiB, 22.10 W;1, 0 %, 3 MiB, 23.32 W;2, 0 %, 3 MiB, 12.60 W;3, 0 %, 3 MiB, 8.49 W; @1786712701
0, 0 %, 3 MiB, 21.71 W;1, 0 %, 3 MiB, 23.27 W;2, 0 %, 3 MiB, 12.91 W;3, 0 %, 3 MiB, 8.26 W; @1786712704
0, 0 %, 3 MiB, 21.64 W;1, 0 %, 3 MiB, 22.90 W;2, 0 %, 3 MiB, 12.28 W;3, 0 %, 3 MiB, 7.62 W; @1786712707
0, 0 %, 3 MiB, 21.27 W;1, 0 %, 3 MiB, 22.69 W;2, 0 %, 3 MiB, 12.59 W;3, 0 %, 3 MiB, 8.28 W; @1786712710
0, 0 %, 3 MiB, 21.94 W;1, 0 %, 3 MiB, 23.10 W;2, 0 %, 3 MiB, 12.48 W;3, 0 %, 3 MiB, 8.76 W; @1786712713
0, 0 %, 3 MiB, 21.81 W;1, 0 %, 3 MiB, 22.80 W;2, 0 %, 3 MiB, 12.42 W;3, 0 %, 3 MiB, 8.68 W; @1786712716
0, 0 %, 3 MiB, 21.46 W;1, 0 %, 3 MiB, 23.22 W;2, 0 %, 3 MiB, 12.46 W;3, 0 %, 3 MiB, 7.32 W; @1786712720
0, 0 %, 3 MiB, 21.81 W;1, 0 %, 3 MiB, 22.02 W;2, 0 %, 3 MiB, 12.26 W;3, 0 %, 3 MiB, 7.07 W; @1786712723
0, 0 %, 3 MiB, 21.73 W;1, 0 %, 3 MiB, 22.81 W;2, 0 %, 3 MiB, 12.48 W;3, 0 %, 3 MiB, 8.43 W; @1786712726
0, 0 %, 3 MiB, 22.23 W;1, 0 %, 3 MiB, 23.05 W;2, 0 %, 3 MiB, 12.71 W;3, 0 %, 3 MiB, 8.47 W; @1786712729
0, 0 %, 3 MiB, 21.74 W;1, 0 %, 3 MiB, 22.87 W;2, 0 %, 3 MiB, 12.66 W;3, 0 %, 3 MiB, 7.55 W; @1786712732
0, 0 %, 3 MiB, 21.39 W;1, 0 %, 3 MiB, 23.05 W;2, 0 %, 3 MiB, 12.34 W;3, 0 %, 3 MiB, 6.99 W; @1786712735
0, 0 %, 3 MiB, 22.12 W;1, 0 %, 3 MiB, 23.32 W;2, 0 %, 3 MiB, 12.61 W;3, 0 %, 3 MiB, 7.57 W; @1786712739
0, 0 %, 3 MiB, 21.98 W;1, 0 %, 3 MiB, 22.66 W;2, 0 %, 3 MiB, 12.47 W;3, 0 %, 3 MiB, 8.11 W; @1786712742
0, 0 %, 3 MiB, 21.68 W;1, 0 %, 3 MiB, 22.24 W;2, 0 %, 3 MiB, 12.62 W;3, 0 %, 3 MiB, 8.02 W; @1786712745
0, 0 %, 3 MiB, 21.54 W;1, 0 %, 3 MiB, 22.46 W;2, 0 %, 3 MiB, 12.37 W;3, 0 %, 3 MiB, 7.05 W; @1786712748
0, 0 %, 3 MiB, 21.88 W;1, 0 %, 3 MiB, 23.18 W;2, 0 %, 3 MiB, 12.37 W;3, 0 %, 3 MiB, 7.37 W; @1786712751
0, 0 %, 3 MiB, 21.35 W;1, 0 %, 3 MiB, 23.08 W;2, 0 %, 3 MiB, 12.55 W;3, 0 %, 3 MiB, 7.47 W; @1786712755
0, 0 %, 3 MiB, 21.79 W;1, 0 %, 3 MiB, 22.83 W;2, 0 %, 3 MiB, 12.63 W;3, 0 %, 3 MiB, 8.61 W; @1786712758
0, 0 %, 3 MiB, 21.86 W;1, 0 %, 3 MiB, 23.91 W;2, 0 %, 3 MiB, 12.77 W;3, 0 %, 3 MiB, 8.70 W; @1786712761
0, 0 %, 3 MiB, 21.68 W;1, 0 %, 3 MiB, 23.44 W;2, 0 %, 3 MiB, 12.75 W;3, 0 %, 3 MiB, 7.47 W; @1786712764
0, 0 %, 3 MiB, 22.06 W;1, 0 %, 3 MiB, 23.45 W;2, 0 %, 3 MiB, 12.45 W;3, 0 %, 3 MiB, 7.93 W; @1786712767
0, 0 %, 3 MiB, 22.08 W;1, 0 %, 3 MiB, 23.19 W;2, 0 %, 3 MiB, 12.77 W;3, 0 %, 3 MiB, 8.84 W; @1786712771
0, 0 %, 3 MiB, 21.93 W;1, 0 %, 3 MiB, 23.37 W;2, 0 %, 3 MiB, 12.64 W;3, 0 %, 3 MiB, 8.48 W; @1786712774
0, 0 %, 3 MiB, 22.42 W;1, 0 %, 3 MiB, 23.83 W;2, 0 %, 3 MiB, 12.72 W;3, 0 %, 3 MiB, 7.90 W; @1786712777
0, 0 %, 3 MiB, 21.54 W;1, 0 %, 3 MiB, 23.73 W;2, 0 %, 3 MiB, 12.40 W;3, 0 %, 3 MiB, 7.16 W; @1786712780
0, 0 %, 3 MiB, 21.50 W;1, 0 %, 3 MiB, 24.25 W;2, 0 %, 3 MiB, 12.39 W;3, 0 %, 3 MiB, 8.36 W; @1786712783
0, 0 %, 3 MiB, 21.80 W;1, 0 %, 3 MiB, 23.89 W;2, 0 %, 3 MiB, 12.77 W;3, 0 %, 3 MiB, 8.63 W; @1786712786
0, 0 %, 3 MiB, 21.96 W;1, 0 %, 3 MiB, 22.87 W;2, 0 %, 3 MiB, 12.56 W;3, 0 %, 3 MiB, 8.61 W; @1786712790
0, 0 %, 3 MiB, 22.07 W;1, 0 %, 3 MiB, 23.11 W;2, 0 %, 3 MiB, 12.23 W;3, 0 %, 3 MiB, 7.71 W; @1786712793
0, 0 %, 3 MiB, 21.70 W;1, 0 %, 3 MiB, 22.86 W;2, 0 %, 3 MiB, 12.34 W;3, 0 %, 3 MiB, 7.63 W; @1786712796
0, 0 %, 3 MiB, 22.49 W;1, 0 %, 3 MiB, 23.57 W;2, 0 %, 3 MiB, 12.84 W;3, 0 %, 3 MiB, 8.54 W; @1786712799
0, 0 %, 3 MiB, 22.27 W;1, 0 %, 3 MiB, 23.54 W;2, 0 %, 3 MiB, 12.61 W;3, 0 %, 3 MiB, 9.01 W; @1786712802
0, 0 %, 3 MiB, 21.97 W;1, 0 %, 3 MiB, 23.65 W;2, 0 %, 3 MiB, 12.47 W;3, 0 %, 3 MiB, 8.12 W; @1786712805
0, 0 %, 3 MiB, 21.94 W;1, 0 %, 3 MiB, 22.65 W;2, 0 %, 3 MiB, 11.94 W;3, 0 %, 3 MiB, 7.64 W; @1786712809
0, 0 %, 3 MiB, 21.76 W;1, 0 %, 3 MiB, 22.96 W;2, 0 %, 3 MiB, 12.40 W;3, 0 %, 3 MiB, 7.40 W; @1786712812
0, 0 %, 3 MiB, 22.09 W;1, 0 %, 3 MiB, 22.99 W;2, 0 %, 3 MiB, 12.45 W;3, 0 %, 3 MiB, 8.46 W; @1786712815
0, 0 %, 3 MiB, 22.13 W;1, 0 %, 3 MiB, 23.57 W;2, 0 %, 3 MiB, 12.30 W;3, 0 %, 3 MiB, 8.60 W; @1786712818
0, 0 %, 3 MiB, 22.14 W;1, 0 %, 3 MiB, 22.96 W;2, 0 %, 3 MiB, 12.21 W;3, 0 %, 3 MiB, 8.01 W; @1786712821
0, 0 %, 3 MiB, 21.97 W;1, 0 %, 3 MiB, 23.10 W;2, 0 %, 3 MiB, 12.21 W;3, 0 %, 3 MiB, 7.58 W; @1786712824
0, 0 %, 3 MiB, 21.89 W;1, 0 %, 3 MiB, 23.59 W;2, 0 %, 3 MiB, 12.55 W;3, 0 %, 3 MiB, 8.09 W; @1786712828
0, 0 %, 3 MiB, 21.87 W;1, 0 %, 3 MiB, 23.58 W;2, 0 %, 3 MiB, 12.39 W;3, 0 %, 3 MiB, 8.68 W; @1786712831
0, 0 %, 3 MiB, 21.88 W;1, 0 %, 3 MiB, 23.57 W;2, 0 %, 3 MiB, 12.69 W;3, 0 %, 3 MiB, 8.75 W; @1786712834
0, 0 %, 3 MiB, 21.41 W;1, 0 %, 3 MiB, 23.32 W;2, 0 %, 3 MiB, 12.19 W;3, 0 %, 3 MiB, 8.06 W; @1786712837
0, 0 %, 3 MiB, 21.56 W;1, 0 %, 3 MiB, 24.24 W;2, 0 %, 3 MiB, 12.33 W;3, 0 %, 3 MiB, 7.26 W; @1786712840
0, 0 %, 3 MiB, 21.60 W;1, 0 %, 3 MiB, 23.94 W;2, 0 %, 3 MiB, 12.21 W;3, 0 %, 3 MiB, 7.40 W; @1786712844
0, 0 %, 3 MiB, 21.57 W;1, 0 %, 3 MiB, 23.43 W;2, 0 %, 3 MiB, 12.03 W;3, 0 %, 3 MiB, 7.76 W; @1786712847
0, 0 %, 3 MiB, 21.92 W;1, 0 %, 3 MiB, 23.54 W;2, 0 %, 3 MiB, 12.09 W;3, 0 %, 3 MiB, 7.29 W; @1786712850
0, 0 %, 3 MiB, 22.09 W;1, 0 %, 3 MiB, 23.55 W;2, 0 %, 3 MiB, 12.24 W;3, 0 %, 3 MiB, 7.40 W; @1786712853
0, 0 %, 3 MiB, 21.76 W;1, 0 %, 3 MiB, 22.81 W;2, 0 %, 3 MiB, 12.06 W;3, 0 %, 3 MiB, 7.31 W; @1786712856
0, 0 %, 3 MiB, 21.72 W;1, 0 %, 3 MiB, 22.86 W;2, 0 %, 3 MiB, 12.15 W;3, 0 %, 3 MiB, 7.48 W; @1786712860
0, 0 %, 3 MiB, 21.92 W;1, 0 %, 3 MiB, 24.42 W;2, 0 %, 3 MiB, 12.30 W;3, 0 %, 3 MiB, 7.46 W; @1786712863
0, 0 %, 3 MiB, 22.06 W;1, 0 %, 3 MiB, 23.40 W;2, 0 %, 3 MiB, 12.31 W;3, 0 %, 3 MiB, 7.42 W; @1786712866
0, 0 %, 3 MiB, 22.11 W;1, 0 %, 3 MiB, 23.08 W;2, 0 %, 3 MiB, 12.24 W;3, 0 %, 3 MiB, 7.43 W; @1786712869
0, 0 %, 3 MiB, 21.70 W;1, 0 %, 3 MiB, 23.50 W;2, 0 %, 3 MiB, 12.33 W;3, 0 %, 3 MiB, 7.55 W; @1786712873
0, 0 %, 3 MiB, 21.60 W;1, 0 %, 3 MiB, 23.04 W;2, 0 %, 3 MiB, 11.99 W;3, 0 %, 3 MiB, 7.41 W; @1786712876
0, 0 %, 3 MiB, 21.51 W;1, 0 %, 3 MiB, 23.00 W;2, 0 %, 3 MiB, 12.20 W;3, 0 %, 3 MiB, 7.80 W; @1786712879
0, 0 %, 3 MiB, 21.76 W;1, 0 %, 3 MiB, 23.31 W;2, 0 %, 3 MiB, 11.85 W;3, 0 %, 3 MiB, 7.51 W; @1786712882
0, 0 %, 3 MiB, 21.42 W;1, 0 %, 3 MiB, 23.97 W;2, 0 %, 3 MiB, 12.12 W;3, 0 %, 3 MiB, 7.38 W; @1786712885
0, 0 %, 3 MiB, 21.62 W;1, 0 %, 3 MiB, 24.12 W;2, 0 %, 3 MiB, 12.22 W;3, 0 %, 3 MiB, 7.81 W; @1786712889
0, 0 %, 3 MiB, 21.60 W;1, 0 %, 3 MiB, 24.12 W;2, 0 %, 3 MiB, 12.13 W;3, 0 %, 3 MiB, 7.87 W; @1786712892
0, 0 %, 3 MiB, 21.49 W;1, 0 %, 3 MiB, 23.15 W;2, 0 %, 3 MiB, 11.97 W;3, 0 %, 3 MiB, 7.75 W; @1786712895
0, 0 %, 3 MiB, 21.28 W;1, 0 %, 3 MiB, 23.96 W;2, 0 %, 3 MiB, 12.00 W;3, 0 %, 3 MiB, 7.72 W; @1786712898
0, 0 %, 3 MiB, 21.46 W;1, 0 %, 3 MiB, 23.84 W;2, 0 %, 3 MiB, 12.11 W;3, 0 %, 3 MiB, 7.93 W; @1786712901
